ID	Kor	Jap	Eng
233	폴리곤2	ポリゴン２	Porygon2
234	노라키	オドシシ	Stantler
235	루브도	ド?ブル	Smeargle
236	배루키	バルキ?	Tyrogue
237	카포에라	カポエラ?	Hitmontop
238	뽀뽀라	ムチュ?ル	Smoochum
239	에레키드	エレキッド	Elekid
240	마그비	ブビィ	Magby
241	밀탱크	ミルタンク	Miltank
242	해피너스	ハピナス	Blissey
243	라이코	ライコウ	Raikou
244	앤테이	エンテイ	Entei
245	스이쿤	スイクン	Suicune
246	애버라스	ヨ?ギラス	Larvitar
247	데기라스	サナギラス	Pupitar
248	마기라스	バンギラス	Tyranitar
249	루기아	ルギア	Lugia
250	칠색조	ホウオウ	Ho-Oh
251	세레비	セレビィ	Celebi
252	나무지기	キモリ	Treecko
253	나무돌이	ジュプトル	Grovyle
254	나무킹	ジュカイン	Sceptile
255	아차모	アチャモ	Torchic
256	영치코	ワカシャモ	Combusken
257	번치코	バシャ?モ	Blaziken
258	물짱이	ミズゴロウ	Mudkip
259	늪짱이	ヌマクロ?	Marshtomp
260	대짱이	ラグラ?ジ	Swampert
261	포챠나	ポチエナ	Poochyena
262	그라에나	グラエナ	Mightyena
263	지그제구리	ジグザグマ	Zigzagoon
264	직구리	マッスグマ	Linoone
265	개무소	ケムッソ	Wurmple
266	실쿤	カラサリス	Silcoon
267	뷰티플라이	アゲハント	Beautifly
268	카스쿤	マユルド	Cascoon
269	독케일	ドクケイル	Dustox
270	연꽃몬	ハスボ?	Lotad
271	로토스	ハスブレロ	Lombre
272	로파파	ルンパッパ	Ludicolo
273	도토링	タネボ?	Seedot
274	잎새코	コノハナ	Nuzleaf
275	다탱구	ダ?テング	Shiftry
276	테일로	スバメ	Taillow
277	스왈로	オオスバメ	Swellow
278	갈모매	キャモメ	Wingull
279	패리퍼	ペリッパ?	Pelipper
280	랄토스	ラルトス	Ralts
281	킬리아	キルリア	Kirlia
282	가디안	サ?ナイト	Gardevoir
283	비구술	アメタマ	Surskit
284	비나방	アメモ?ス	Masquerain
285	버섯꼬	キノココ	Shroomish
286	버섯모	キノガッサ	Breloom
287	게을로	ナマケロ	Slakoth
288	발바로	ヤルキモノ	Vigoroth
289	게을킹	ケッキング	Slaking
290	토중몬	ツチニン	Nincada
291	아이스크	テッカニン	Ninjask
292	껍질몬	ヌケニン	Shedinja
293	소곤룡	ゴニョニョ	Whismur
294	노공룡	ドゴ?ム	Loudred
295	폭음룡	バクオング	Exploud
296	마크탕	マクノシタ	Makuhita
297	하리뭉	ハリテヤマ	Hariyama
298	루리리	ルリリ	Azurill
299	코코파스	ノズパス	Nosepass
300	에나비	エネコ	Skitty
301	델케티	エネコロロ	Delcatty
302	깜까미	ヤミラミ	Sableye
303	입치트	クチ?ト	Mawile
304	가보리	ココドラ	Aron
305	갱도라	コドラ	Lairon
306	보스로라	ボスゴドラ	Aggron
307	요가랑	アサナン	Meditite
308	요가램	チャ?レム	Medicham
309	썬더라이	ラクライ	Electrike
310	썬더볼트	ライボルト	Manectric
311	플러시	プラスル	Plusle
312	마이농	マイナン	Minun
313	볼비트	バルビ?ト	Volbeat
314	네오비트	イルミ?ゼ	Illumise
315	로젤리아	ロゼリア	Roselia
316	꼴깍몬	ゴクリン	Gulpin
317	꿀꺽몬	マルノ?ム	Swalot
318	샤프니아	キバニア	Carvanha
319	샤크니아	サメハダ?	Sharpedo
320	고래왕자	ホエルコ	Wailmer
321	고래왕	ホエルオ?	Wailord
322	둔타	ドンメル	Numel
323	폭타	バク?ダ	Camerupt
324	코터스	コ?タス	Torkoal
325	피그점프	バネブ?	Spoink
326	피그킹	ブ?ピッグ	Grumpig
327	얼루기	パッチ?ル	Spinda
328	톱치	ナックラ?	Trapinch
329	비브라바	ビブラ?バ	Vibrava
330	플라이곤	フライゴン	Flygon
331	선인왕	サボネア	Cacnea
332	밤선인	ノクタス	Cacturne
333	파비코	チルット	Swablu
334	파비코리	チルタリス	Altaria
335	쟝고	ザング?ス	Zangoose
336	세비퍼	ハブネ?ク	Seviper
337	루나톤	ルナト?ン	Lunatone
338	솔록	ソルロック	Solrock
339	미꾸리	ドジョッチ	Barboach
340	메깅	ナマズン	Whiscash
341	가재군	ヘイガニ	Corphish
342	가재장군	シザリガ?	Crawdaunt
343	오뚝군	ヤジロン	Baltoy
344	점토도리	ネンド?ル	Claydol
345	릴링	リリ?ラ	Lileep
346	릴리요	ユレイドル	Cradily
347	아노딥스	アノプス	Anorith
348	아말도	ア?マルド	Armaldo
349	빈티나	ヒンバス	Feebas
350	밀로틱	ミロカロス	Milotic
351	캐스퐁	ポワルン	Castform
352	켈리몬	カクレオン	Kecleon
353	어둠대신	カゲボウズ	Shuppet
354	다크펫	ジュペッタ	Banette
355	해골몽	ヨマワル	Duskull
356	미라몽	サマヨ?ル	Dusclops
357	트로피우스	トロピウス	Tropius
358	치렁	チリ?ン	Chimecho
359	앱솔	アブソル	Absol
360	마자	ソ?ナノ	Wynaut
361	눈꼬마	ユキワラシ	Snorunt
362	얼음귀신	オニゴ?リ	Glalie
363	대굴레오	タマザラシ	Spheal
364	씨레오	トドグラ?	Sealeo
365	씨카이저	トドゼルガ	Walrein
366	진주몽	パ?ルル	Clamperl
367	헌테일	ハンテ?ル	Huntail
368	분홍장이	サクラビス	Gorebyss
369	시라칸	ジ?ランス	Relicanth
370	사랑동이	ラブカス	Luvdisc
371	아공이	タツベイ	Bagon
372	쉘곤	コモル?	Shelgon
373	보만다	ボ?マンダ	Salamence
374	메탕	ダンバル	Beldum
375	메탕구	メタング	Metang
376	메타그로스	メタグロス	Metagross
377	레지락	レジロック	Regirock
378	레지아이스	レジアイス	Regice
379	레지스틸	レジスチル	Registeel
380	라티아스	ラティアス	Latias
381	라티오스	ラティオス	Latios
382	가이오가	カイオ?ガ	Kyogre
383	그란돈	グラ?ドン	Groudon
384	레쿠쟈	レックウザ	Rayquaza
385	지라치	ジラ?チ	Jirachi
386	테오키스	デオキシス	Deoxys
387	모부기	ナエトル	Turtwig
388	수풀부기	ハヤシガメ	Grotle
389	토대부기	ドダイトス	Torterra
390	불꽃숭이	ヒコザル	Chimchar
391	파이숭이	モウカザル	Monferno
392	초염몽	ゴウカザル	Infernape
393	팽도리	ポッチャマ	Piplup
394	팽태자	ポッタイシ	Prinplup
395	엠페르트	エンペルト	Empoleon
396	찌르꼬	ムックル	Starly
397	찌르버드	ムクバ?ド	Staravia
398	찌르호크	ムクホ?ク	Staraptor
399	비버니	ビッパ	Bidoof
400	비버통	ビ?ダル	Bibarel
401	귀뚤뚜기	コロボ?シ	Kricketot
402	귀뚤톡크	コロトック	Kricketune
403	꼬링크	コリンク	Shinx
404	럭시오	ルクシオ	Luxio
405	렌트라	レントラ?	Luxray
406	꼬몽울	スボミ?	Budew
407	로즈레이드	ロズレイド	Roserade
408	두개도스	ズガイドス	Cranidos
409	램펄드	ラムパルド	Rampardos
410	방패톱스	タテトプス	Shieldon
411	바리톱스	トリデプス	Bastiodon
412	도롱충이	ミノムッチ	Burmy
413	도롱마담	ミノマダム	Wormadam
414	나메일	ガ?メイル	Mothim
415	세꿀버리	ミツハニ?	Combee
416	비퀸	ビ?クイン	Vespiquen
417	파치리스	パチリス	Pachirisu
418	브이젤	ブイゼル	Buizel
419	플로젤	フロ?ゼル	Floatzel
420	체리버	チェリンボ	Cherubi
421	체리꼬	チェリム	Cherrim
422	깝질무	カラナクシ	Shellos
423	트리토돈	トリトドン	Gastrodon
424	겟핸보숭	エテボ?ス	Ambipom
425	흔들풍손	フワンテ	Drifloon
426	둥실라이드	フワライド	Drifblim
427	이어롤	ミミロル	Buneary
428	이어롭	ミミロップ	Lopunny
429	무우마직	ムウマ?ジ	Mismagius
430	돈크로우	ドンカラス	Honchkrow
431	나옹마	ニャルマ?	Glameow
432	몬냥이	ブニャット	Purugly
433	랑딸랑	リ?シャン	Chingling
434	스컹뿡	スカンプ?	Stunky
435	스컹탱크	スカタンク	Skuntank
436	동미러	ド?ミラ?	Bronzor
437	동탁군	ド?タクン	Bronzong
438	꼬지지	ウソハチ	Bonsly
439	흉내내	マネネ	Mime Jr.
440	핑복	ピンプク	Happiny
441	페라페	ペラップ	Chatot
442	화강돌	ミカルゲ	Spiritomb
443	딥상어동	フカマル	Gible
444	한바이트	ガバイト	Gabite
445	한카리아스	ガブリアス	Garchomp
446	먹고자	ゴンベ	Munchlax
447	리오르	リオル	Riolu
448	루카리오	ルカリオ	Lucario
449	히포포타스	ヒポポタス	Hippopotas
450	하마돈	カバルドン	Hippowdon
451	스콜피	スコルピ	Skorupi
452	드래피온	ドラピオン	Drapion
453	삐딱구리	グレッグル	Croagunk
454	독개굴	ドクロッグ	Toxicroak
455	무스틈니	マスキッパ	Carnivine
456	형광어	ケイコウオ	Finneon
457	네오라이트	ネオラント	Lumineon
458	타만타	タマンタ	Mantyke
459	눈쓰개	ユキカブリ	Snover
460	눈설왕	ユキノオ?	Abomasnow
461	포푸니라	マニュ?ラ	Weavile
462	자포코일	ジバコイル	Magnezone
463	내룸벨트	ベロベルト	Lickilicky
464	거대코뿌리	ドサイドン	Rhyperior
465	덩쿠림보	モジャンボ	Tangrowth
466	에레키블	エレキブル	Electivire
467	마그마번	ブ?バ?ン	Magmortar
468	토게키스	トゲキッス	Togekiss
469	메가자리	メガヤンマ	Yanmega
470	리피아	リ?フィア	Leafeon
471	글레이시아	グレイシア	Glaceon
472	글라이온	グライオン	Gliscor
473	맘모꾸리	マンム?	Mamoswine
474	폴리곤Z	ポリゴンＺ	Porygon-Z
475	엘레이드	エルレイド	Gallade
476	대코파스	ダイノ?ズ	Probopass
477	야느와르몽	ヨノワ?ル	Dusknoir
478	눈여아	ユキメノコ	Froslass
479	로토무	ロトム	Rotom
480	유크시	ユクシ?	Uxie
481	엠라이트	エムリット	Mesprit
482	아그놈	アグノム	Azelf
483	디아루가	ディアルガ	Dialga
484	펄기아	パルキア	Palkia
485	히드런	ヒ?ドラン	Heatran
486	레지기가스	レジギガス	Regigigas
487	기라티나	ギラティナ	Giratina
488	크레세리아	クレセリア	Cresselia
489	피오네	フィオネ	Phione
490	마나피	マナフィ	Manaphy
491	다크라이	ダ?クライ	Darkrai
492	쉐이미	シェイミ	Shaymin
493	아르세우스	アルセウス	Arceus
494	비크티니	ビクティニ	Victini
495	주리비얀	ツタ?ジャ	Snivy
496	샤비	ジャノビ?	Servine
497	샤로다	ジャロ?ダ	Serperior
498	뚜꾸리	ポカブ	Tepig
499	챠오꿀	チャオブ?	Pignite
500	염무왕	エンブオ?	Emboar
501	수댕이	ミジュマル	Oshawott
502	쌍검자비	フタチマル	Dewott
503	대검귀	ダイケンキ	Samurott
504	보르쥐	ミネズミ	Patrat
505	보르그	ミルホッグ	Watchog
506	요테리	ヨ?テリ?	Lillipup
507	하데리어	ハ?デリア	Herdier
508	바랜드	ム?ランド	Stoutland
509	쌔비냥	チョロネコ	Purrloin
510	레파르다스	レパルダス	Liepard
511	야나프	ヤナップ	Pansage
512	야나키	ヤナッキ?	Simisage
513	바오프	バオップ	Pansear
514	바오키	バオッキ?	Simisear
515	앗차프	ヒヤップ	Panpour
516	앗차키	ヒヤッキ?	Simipour
517	몽나	ムンナ	Munna
518	몽얌나	ムシャ?ナ	Musharna
519	콩둘기	マメパト	Pidove
520	유토브	ハト?ボ?	Tranquill
521	켄호로우	ケンホロウ	Unfezant
522	줄뮤마	シママ	Blitzle
523	제브라이카	ゼブライカ	Zebstrika
524	단굴	ダンゴロ	Roggenrola
525	암트르	ガントル	Boldore
526	기가이어스	ギガイアス	Gigalith
527	또르박쥐	コロモリ	Woobat
528	맘박쥐	ココロモリ	Swoobat
529	두더류	モグリュ?	Drilbur
530	몰드류	ドリュウズ	Excadrill
531	다부니	タブンネ	Audino
532	으랏차	ドッコラ?	Timburr
533	토쇠골	ドテッコツ	Gurdurr
534	노보청	ロ?ブシン	Conkeldurr
535	동챙이	オタマロ	Tympole
536	두까비	ガマガル	Palpitoad
537	두빅굴	ガマゲロゲ	Seismitoad
538	던지미	ナゲキ	Throh
539	타격귀	ダゲキ	Sawk
540	두르보	クルミル	Sewaddle
541	두르쿤	クルマユ	Swadloon
542	모아머	ハハコモリ	Leavanny
543	마디네	フシデ	Venipede
544	휠구	ホイ?ガ	Whirlipede
545	펜드라	ペンドラ?	Scolipede
546	소미안	モンメン	Cottonee
547	엘풍	エルフ?ン	Whimsicott
548	치릴리	チュリネ	Petilil
549	드레디어	ドレディア	Lilligant
550	배쓰나이	バスラオ	Basculin
551	깜눈크	メグロコ	Sandile
552	악비르	ワルビル	Krokorok
553	악비아르	ワルビアル	Krookodile
554	달막화	ダルマッカ	Darumaka
555	불비달마	ヒヒダルマ	Darmanitan
556	마라카치	マラカッチ	Maractus
557	돌살이	イシズマイ	Dwebble
558	암팰리스	イワパレス	Crustle
559	곤율랭	ズルッグ	Scraggy
560	곤율거니	ズルズキン	Scrafty
561	심보러	シンボラ?	Sigilyph
562	데스마스	デスマス	Yamask
563	데스니칸	デスカ?ン	Cofagrigus
564	프로토가	プロト?ガ	Tirtouga
565	늑골라	アバゴ?ラ	Carracosta
566	아켄	ア?ケン	Archen
567	아케오스	ア?ケオス	Archeops
568	깨봉이	ヤブクロン	Trubbish
569	더스트나	ダストダス	Garbodor
570	조로아	ゾロア	Zorua
571	조로아크	ゾロア?ク	Zoroark
572	치라미	チラ?ミィ	Minccino
573	치라치노	チラチ?ノ	Cinccino
574	고디탱	ゴチム	Gothita
575	고디보미	ゴチミル	Gothorita
576	고디모아젤	ゴチルゼル	Gothitelle
577	유니란	ユニラン	Solosis
578	듀란	ダブラン	Duosion
579	란쿨루스	ランクルス	Reuniclus
580	꼬지보리	コアルヒ?	Ducklett
581	스완나	スワンナ	Swanna
582	바닐프티	バニプッチ	Vanillite
583	바닐리치	バニリッチ	Vanillish
584	배바닐라	バイバニラ	Vanilluxe
585	사철록	シキジカ	Deerling
586	바라철록	メブキジカ	Sawsbuck
587	에몽가	エモンガ	Emolga
588	딱정곤	カブルモ	Karrablast
589	슈바르고	シュバルゴ	Escavalier
590	깜놀버슬	タマゲタケ	Foongus
591	뽀록나	モロバレル	Amoonguss
592	탱그릴	プルリル	Frillish
593	탱탱겔	ブルンゲル	Jellicent
594	맘복치	ママンボウ	Alomomola
595	파쪼옥	バチュル	Joltik
596	전툴라	デンチュラ	Galvantula
597	철시드	テッシ?ド	Ferroseed
598	너트령	ナットレイ	Ferrothorn
599	기어르	ギアル	Klink
600	기기어르	ギギアル	Klang
601	기기기어르	ギギギアル	Klinklang
602	저리어	シビシラス	Tynamo
603	저리릴	シビビ?ル	Eelektrik
604	저리더프	シビルドン	Eelektross
605	리그레	リグレ?	Elgyem
606	벰크	オ?ベム	Beheeyem
607	불켜미	ヒトモシ	Litwick
608	램프라	ランプラ?	Lampent
609	샹델라	シャンデラ	Chandelure
610	터검니	キバゴ	Axew
611	액슨도	オノンド	Fraxure
612	액스라이즈	オノノクス	Haxorus
613	코고미	クマシュン	Cubchoo
614	툰베어	ツンベア?	Beartic
615	프리지오	フリ?ジオ	Cryogonal
616	쪼마리	チョボマキ	Shelmet
617	어지리더	アギルダ?	Accelgor
618	메더	マッギョ	Stunfisk
619	비조푸	コジョフ?	Mienfoo
620	비조도	コジョンド	Mienshao
621	크리만	クリムガン	Druddigon
622	골비람	ゴビット	Golett
623	골루그	ゴル?グ	Golurk
624	자망칼	コマタナ	Pawniard
625	절각참	キリキザン	Bisharp
626	버프론	バッフロン	Bouffalant
627	수리둥보	ワシボン	Rufflet
628	워글	ウォ?グル	Braviary
629	벌차이	バルチャイ	Vullaby
630	버랜지나	バルジ?ナ	Mandibuzz
631	앤티골	クイタラン	Heatmor
632	아이앤트	アイアント	Durant
633	모노두	モノズ	Deino
634	디헤드	ジヘッド	Zweilous
635	삼삼드래	サザンドラ	Hydreigon
636	활화르바	メラルバ	Larvesta
637	불카모스	ウルガモス	Volcarona
638	코바르온	コバルオン	Cobalion
639	테라키온	テラキオン	Terrakion
640	비리디온	ビリジオン	Virizion
641	토네로스	トルネロス	Tornadus
642	볼트로스	ボルトロス	Thundurus
643	레시라무	レシラム	Reshiram
644	제크로무	ゼクロム	Zekrom
645	랜드로스	ランドロス	Landorus
646	큐레무	キュレム	Kyurem
647	케르디오	ケルディオ	Keldeo
648	메로엣타	メロエッタ	Meloetta
649	게노세크트	ゲノセクト	Genesect
650	도치마론	ハリマロン	Chespin
651	도치보구	ハリボ?グ	Quilladin
652	브리가론	ブリガロン	Chesnaught
653	푸호꼬	フォッコ	Fennekin
654	테르나	テ?ルナ?	Braixen
655	마폭시	マフォクシ?	Delphox
656	개구마르	ケロマツ	Froakie
657	개굴반장	ゲコガシラ	Frogadier
658	개굴닌자	ゲッコウガ	Greninja
659	파르빗	ホルビ?	Bunnelby
660	파르토	ホル?ド	Diggersby
661	화살꼬빈	ヤヤコマ	Fletchling
662	불화살빈	ヒノヤコマ	Fletchinder
663	파이어로	ファイアロ?	Talonflame
664	분이벌레	コフキムシ	Scatterbug
665	분떠도리	コフ?ライ	Spewpa
666	비비용	ビビヨン	Vivillon
667	레오꼬	シシコ	Litleo
668	화염레오	カエンジシ	Pyroar
669	플라베베	フラベベ	Flabebe
670	플라엣테	フラエッテ	Floette
671	플라제스	フラ?ジェス	Florges
672	메이클	メェ?クル	Skiddo
673	고고트	ゴ?ゴ?ト	Gogoat
674	판짱	ヤンチャム	Pancham
675	부란다	ゴロンダ	Pangoro
676	트리미앙	トリミアン	Furfrou
677	냐스퍼	ニャスパ?	Espurr
678	냐오닉스	ニャオニクス	Meowstic
679	단칼빙	ヒトツキ	Honedge
680	쌍검킬	ニダンギル	Doublade
681	킬가르도	ギルガルド	Aegislash
682	슈쁘	シュシュプ	Spritzee
683	프레프티르	フレフワン	Aromatisse
684	나룸퍼프	ペロッパフ	Swirlix
685	나루림	ペロリ?ム	Slurpuff
686	오케이징	マ?イ?カ	Inkay
687	칼라마네로	カラマネロ	Malamar
688	거북손손	カメテテ	Binacle
689	거북손데스	ガメノデス	Barbaracle
690	수레기	クズモ?	Skrelp
691	드래캄	ドラミドロ	Dragalge
692	완철포	ウデッポウ	Clauncher
693	블로스터	ブロスタ?	Clawitzer
694	목도리키텔	エリキテル	Helioptile
695	일레도리자드	エレザ?ド	Heliolisk
696	티고라스	チゴラス	Tyrunt
697	견고라스	ガチゴラス	Tyrantrum
698	아마루스	アマルス	Amaura
699	아마루르가	アマルルガ	Aurorus
700	님피아	ニンフィア	Sylveon
701	루차불	ルチャブル	Hawlucha
702	데덴네	デデンネ	Dedenne
703	멜리시	メレシ?	Carbink
704	미끄메라	ヌメラ	Goomy
705	미끄네일	ヌメイル	Sliggoo
706	미끄래곤	ヌメルゴン	Goodra
